ID,brand,c__productCategory,manufacturerSKU,name__default,mainImageName(.png),imageSize(pixels),duplicatedManufacturerSku,comments
duravent-pellet-vent-pro-4-replacement-gasket-4pvpga,DuraVent,Venting Components,4PVP-GA,"DuraVent Pellet Vent Pro 4"" Diameter Replacement Gasket | 4PVP-GA |",4pvp-ga,1000x1000,False,manufacturerSKU not found through either quick-search API or direct link with 'ID' field; manufacturerSKU is not searched on Napoleon catalog at https://app.salsify.com/catalogs/44c36744-43f9-447b-9e90-7615b76afbe5/products?filter=%3D&page=1; manufacturerSKU is not searched on Skytechfireplaceremotes.com; manufacturerSKU is not searched on iBuyFireplaces.com; Not search Superior provided images because not Superior products
duravent-type-b-6-fha-flashing-6gvfha,DuraVent,Venting Components,6GVFHA,"DuraVent Type B 6"" FHA Flashing | 6GVFHA |",6gvfha,1000x1000,False,manufacturerSKU not found through either quick-search API or direct link with 'ID' field; manufacturerSKU is not searched on Napoleon catalog at https://app.salsify.com/catalogs/44c36744-43f9-447b-9e90-7615b76afbe5/products?filter=%3D&page=1; manufacturerSKU is not searched on Skytechfireplaceremotes.com; manufacturerSKU is not searched on iBuyFireplaces.com; Not search Superior provided images because not Superior products
duravent-type-b-universal-bvent-to-aluminum-flex-adapter-7dfaadbv,DuraVent,Venting Components,7DFA-ADBV,DuraVent Type B Universal B-Vent to Aluminum Flex Adapter | 7DFA-ADBV |,7dfa-adbv,1000x1000,False,manufacturerSKU not found through either quick-search API or direct link with 'ID' field; manufacturerSKU is not searched on Napoleon catalog at https://app.salsify.com/catalogs/44c36744-43f9-447b-9e90-7615b76afbe5/products?filter=%3D&page=1; manufacturerSKU is not searched on Skytechfireplaceremotes.com; manufacturerSKU is not searched on iBuyFireplaces.com; Not search Superior provided images because not Superior products
empire-propane-to-natural-gas-ip-conversion-kit-32944,Empire,Conversion Kits,32944,Empire Electronic Ignition with Propane to Natural Gas Conversion Kit | 32944 |,32944,1000x1000,False,manufacturerSKU found but has NO images; manufacturerSKU is not searched on Napoleon catalog at https://app.salsify.com/catalogs/44c36744-43f9-447b-9e90-7615b76afbe5/products?filter=%3D&page=1; manufacturerSKU is not searched on Skytechfireplaceremotes.com; manufacturerSKU not found on iBuyFireplaces.com; Not search Superior provided images because not Superior products
majestic-18-fireside-realwood-refractory-cement-log-set-frw118,Majestic,Media Kits,FRW118,"Majestic 18"" Fireside Realwood Refractory Cement Log Set | FRW118 |",frw118,1000x1000,False,manufacturerSKU not found through either quick-search API or direct link with 'ID' field; manufacturerSKU is not searched on Napoleon catalog at https://app.salsify.com/catalogs/44c36744-43f9-447b-9e90-7615b76afbe5/products?filter=%3D&page=1; manufacturerSKU is not searched on Skytechfireplaceremotes.com; manufacturerSKU not found on iBuyFireplaces.com; Not search Superior provided images because not Superior products
majestic-18-fireside-supreme-oak-gas-log-set-for-See-Thru-fireplace-stfso18,Majestic,Media Kits,STFSO18,,stfso18,1000x1000,True,manufacturerSKU not found through either quick-search API or direct link with 'ID' field; manufacturerSKU is not searched on Napoleon catalog at https://app.salsify.com/catalogs/44c36744-43f9-447b-9e90-7615b76afbe5/products?filter=%3D&page=1; manufacturerSKU is not searched on Skytechfireplaceremotes.com; manufacturerSKU not found on iBuyFireplaces.com; Not search Superior provided images because not Superior products
majestic-18-fireside-supreme-oak-gas-log-set-for-see-through-fireplace-stfso18,Majestic,Gas Log Sets,STFSO18,"Majestic 18"" Fireside Supreme Oak Gas Log Set For See-Through Fireplace | STFSO18 |",stfso18,1000x1000,True,manufacturerSKU not found through either quick-search API or direct link with 'ID' field; manufacturerSKU is not searched on Napoleon catalog at https://app.salsify.com/catalogs/44c36744-43f9-447b-9e90-7615b76afbe5/products?filter=%3D&page=1; manufacturerSKU is not searched on Skytechfireplaceremotes.com; manufacturerSKU not found on iBuyFireplaces.com; Not search Superior provided images because not Superior products
majestic-18-fireside-versawood-refractory-cement-log-set-fvw18,Majestic,Media Kits,FVW18,"Majestic 18"" Fireside Versawood Refractory Cement Log Set | FVW18 |",fvw18,1000x1000,False,manufacturerSKU not found through either quick-search API or direct link with 'ID' field; manufacturerSKU is not searched on Napoleon catalog at https://app.salsify.com/catalogs/44c36744-43f9-447b-9e90-7615b76afbe5/products?filter=%3D&page=1; manufacturerSKU is not searched on Skytechfireplaceremotes.com; manufacturerSKU not found on iBuyFireplaces.com; Not search Superior provided images because not Superior products
majestic-24-fireside-realwood-refractory-cement-log-set-frw124,Majestic,Media Kits,FRW124,"Majestic 24"" Fireside Realwood Refractory Cement Log Set | FRW124 |",frw124,1000x1000,False,manufacturerSKU not found through either quick-search API or direct link with 'ID' field; manufacturerSKU is not searched on Napoleon catalog at https://app.salsify.com/catalogs/44c36744-43f9-447b-9e90-7615b76afbe5/products?filter=%3D&page=1; manufacturerSKU is not searched on Skytechfireplaceremotes.com; manufacturerSKU not found on iBuyFireplaces.com; Not search Superior provided images because not Superior products
majestic-24-campfire-fiber-gas-log-set-with-ipi-ignition-natural-gas-cfl-24ng-ipi,Majestic,Gas Log Sets,CFL-24NG-IPI,"Majestic 24"" Campfire Fiber Gas Log Set with IPI Ignition (Natural Gas) | CFL-24NG-IPI |",cfl-24ng-ipi,1000x1000,False,manufacturerSKU not found through either quick-search API or direct link with 'ID' field; manufacturerSKU is not searched on Napoleon catalog at https://app.salsify.com/catalogs/44c36744-43f9-447b-9e90-7615b76afbe5/products?filter=%3D&page=1; manufacturerSKU is not searched on Skytechfireplaceremotes.com; manufacturerSKU not found on iBuyFireplaces.com; Not search Superior provided images because not Superior products
