ID,brand,c__productCategory,manufacturerSKU,name__default,mainImageName(.png),imageSize(pixels),duplicatedManufacturerSku,comment
500-degree-black-rtv-high-temp-silicone-10-3-oz-cartridge-76,Thurmalox,Tools and Supplies,76,Thurmalox 500 Degree Black RTV High Temp Silicone 10.3 oz Cartridge | 76 |,76,1000x1000,FALSE,Not search Superior provided images because not Superior products
additional-lava-rock-cinders,Napoleon,Media Kits,W550-0006,Napoleon Additional Lava Rock/Cinders | W550-0006 |,w550-0006,1000x1000,FALSE,Not search Superior provided images because not Superior products
ambient-rcb-remote-control-on-off,Monessen,Remote Controls,MON-RCB,Monessen Ambient RCB Fireplace Remote Control On-Off | RCB |,mon-rcb,1000x1000,FALSE,Not search Superior provided images because not Superior products
ambient-rcst-remote-control-on-off-thermostatic,Monessen,Remote Controls,MON-RCST,Monessen Ambient Remote Control On-Off-Thermostatic | RCST |,mon-rcst,1000x1000,FALSE,Not search Superior provided images because not Superior products
american-fireglass-platinum-reflective-1-4-crushed-fire-glass-10-lbs-aff-platrf-10,Realfyre,Glass Media Kits,AFF-PLATRF-10,"Realfyre American Fireglass Platinum Reflective 1/4"" Crushed Fire Glass 10 lbs | AFF-PLATRF-10 |",aff-platrf-10,1000x1000,FALSE,Not search Superior provided images because not Superior products
ascent-x-70-gx70nte-electronic-direct-vent-natural-gas-fireplace,Napoleon,Gas Fireplaces,GX70NTE-1,Napoleon Ascent X 70 Direct-Vent Gas Fireplace | GX70,gx70nte-1,1000x1000,FALSE,Not search Superior provided images because not Superior products
azuria-reflective-1-4-crushed-fire-glass-10-lbs-gl10fr,Realfyre,Glass Media Kits,GL10FR,"Realfyre Azuria Reflective‚ 1/4"" Crushed Fire Glass 10 lbs | GL10FR |",gl10fr,1000x1000,FALSE,Not search Superior provided images because not Superior products
birch-log-kit-blks,Napoleon,Media Kits,BLKS,Napoleon Birch Log Kit | BLKS |,blks,1000x1000,FALSE,Not search Superior provided images because not Superior products
black-1-4-crushed-fire-glass-10-lbs-gl10b,Realfyre,Glass Media Kits,GL10B,"Realfyre Black‚ 1/4"" Crushed Fire Glass 10 lbs | GL10B |",gl10b,1000x1000,FALSE,Not search Superior provided images because not Superior products
black-arch-louver-dvg4abl,Empire,Louvers,DVG4ABL,Empire Black Arch Louver | DVG4ABL |,dvg4abl,1000x1000,FALSE,Not search Superior provided images because not Superior products
black-reflective-1-4-crushed-fire-glass-10-lbs-gl10br,Realfyre,Glass Media Kits,GL10BR,"Realfyre Black‚ Reflective 1/4"" Crushed Fire Glass 10 lbs | GL10BR |",gl10br,1000x1000,FALSE,Not search Superior provided images because not Superior products
blue-1-4-crushed-fire-glass-10-lbs-gl10n,Realfyre,Glass Media Kits,GL10N,"Realfyre Blue‚ 1/4"" Crushed Fire Glass 10 lbs | GL10N |",gl10n,1000x1000,FALSE,Not search Superior provided images because not Superior products
blue-reflective-1-4-crushed-fire-glass-10-lbs-gl10nr,Realfyre,Glass Media Kits,GL10NR,"Realfyre Blue‚ Reflective 1/4"" Crushed Fire Glass 10 lbs | GL10NR |",gl10nr,1000x1000,FALSE,Not search Superior provided images because not Superior products
bronze-1-4-crushed-fire-glass-10-lbs-gl10z,Realfyre,Glass Media Kits,GL10Z,"Realfyre Bronze‚ 1/4"" Crushed Fire Glass 10 lbs | GL10Z |",gl10z,1000x1000,FALSE,Not search Superior provided images because not Superior products
bronze-reflective-1-4-crushed-fire-glass-10-lbs-gl10zr,Realfyre,Glass Media Kits,GL10ZR,"Realfyre Bronze‚ Reflective 1/4"" Crushed Fire Glass 10 lbs | GL10ZR |",gl10zr,1000x1000,FALSE,Not search Superior provided images because not Superior products
ceramic-fiber-log-set-ls42ff,Empire,Media Kits,LS42FF,Empire Ceramic Fiber Log Set | LS42FF |,ls42ff,1000x1000,FALSE,Not search Superior provided images because not Superior products
champagne-reflective-1-4-crushed-fire-glass-10-lbs-gl10cr,Realfyre,Glass Media Kits,GL10CR,"Realfyre Champagne‚ Reflective 1/4"" Crushed Fire Glass 10 lbs | GL10CR |",gl10cr,1000x1000,FALSE,Not search Superior provided images because not Superior products
clear-1-4-crushed-fire-glass-10-lbs-gl10c,Realfyre,Glass Media Kits,GL10C,"Realfyre Clear 1/4"" Crushed Fire Glass 10 lbs | GL10C |",gl10c,1000x1000,FALSE,Not search Superior provided images because not Superior products
copper-1-4-crushed-fire-glass-10-lbs-gl10cp,Realfyre,Glass Media Kits,GL10CP,"Realfyre Copper‚ 1/4"" Crushed Fire Glass 10 lbs | GL10CP |",gl10cp,1000x1000,FALSE,Not search Superior provided images because not Superior products
copper-reflective-1-4-crushed-fire-glass-10-lbs-gl10jqr,Realfyre,Glass Media Kits,GL10JQR,"Realfyre Copper‚ Reflective 1/4"" Crushed Fire Glass 10 lbs | GL10JQR |",gl10jqr,1000x1000,FALSE,Not search Superior provided images because not Superior products
dimplex-30-revillusion-built-in-electric-firebox-rbf30wc,Dimplex,Electric Fireplaces,RBF30WC,"Dimplex 30"" Revillusion Built In Electric Firebox | RBF30WC |",rbf30wc,1000x1000,FALSE,Not search Superior provided images because not Superior products
dimplex-33-multi-fire-xd-electric-firebox-pf3033hg,Dimplex,Electric Fireplaces,PF3033HG,"Dimplex 33"" Multi-Fire XD Electric Firebox | PF3033HG |",pf3033hg,1000x1000,FALSE,Not search Superior provided images because not Superior products
dimplex-accessory-driftwood-50-kit-lf50dws-kit,Dimplex,Media Kits,LF50DWS-KIT,Dimplex Accessory Driftwood 50 Kit | LF50DWS-KIT |,lf50dws-kit,1000x1000,FALSE,Not search Superior provided images because not Superior products
dimplex-accessory-driftwood-74-kit-lf74dws-kit,Dimplex,Media Kits,LF74DWS-KIT,Dimplex Accessory Driftwood and River Rock Kit | LF74DWS-KIT |,lf74dws-kit,1000x1000,FALSE,Not search Superior provided images because not Superior products
dimplex-ignite-xlf-50-trim-kit-xlftrim50,Dimplex,Trim Kits,XLF50TRIM,Dimplex Ignite XLF 50 Trim Kit | XLFTRIM50 |,xlf50trim,1000x1000,FALSE,Not search Superior provided images because not Superior products
dimplex-ignite-xlf-60-trim-kit-xlftrim60,Dimplex,Trim Kits,XLFTRIM60,Dimplex Ignite XLF 60 Trim Kit | XLFTRIM60 |,xlftrim60,1000x1000,FALSE,Not search Superior provided images because not Superior products
dimplex-ignitexl-100-inch-wall-mounted-electric-fireplace-xlf100,Dimplex,Electric Fireplaces,XLF100,Dimplex IgniteXL 100 Inch Wall Mounted Electric Fireplace | XLF100 |,xlf100,1000x1000,FALSE,Not search Superior provided images because not Superior products
dimplex-ignitexl-50-inch-wall-mount-linear-electric-fireplace-xlf50,Dimplex,Electric Fireplaces,XLF50,Dimplex IgniteXL 50 Inch Wall Mount Linear Electric Fireplace | XLF50 |,xlf50,1000x1000,FALSE,Not search Superior provided images because not Superior products
dimplex-ignitexl-60-inch-wall-mount-linear-electric-fireplace-xlf60,Dimplex,Electric Fireplaces,XLF60,Dimplex IgniteXL 60 Inch Wall Mount Linear Electric Fireplace | XLF60 |,xlf60,1000x1000,FALSE,Not search Superior provided images because not Superior products
dimplex-ignitexl-74-inch-wall-mount-linear-electric-fireplace-xlf74,Dimplex,Electric Fireplaces,XLF74,Dimplex IgniteXL 74 Inch Wall Mount Linear Electric Fireplace | XLF74 |,xlf74,1000x1000,FALSE,Not search Superior provided images because not Superior products
dimplex-log-set-for-opti-myst-pro-1000-built-in-electric-cassette-cdfilog-kit,Dimplex,Media Kits,CDFILOG-KIT,Dimplex Log set for Opti-Myst Pro 1000 Built In Electric Cassette | CDFILOG-KIT |,cdfilog-kit,1000x1000,FALSE,Not search Superior provided images because not Superior products
dimplex-log-set-for-opti-myst-pro-500-built-in-electric-cassette-cdfilog,Dimplex,Media Kits,CDFILOG,Dimplex Log set for Opti-Myst Pro 500 Built In Electric Cassette | CDFILOG |,cdfilog,1000x1000,FALSE,Not search Superior provided images because not Superior products
dimplex-media-tray-for-opti-myst-pro-1000-cdfi1000-tray,Dimplex,Accessory Media Kits,CDFI1000-TRAY,Dimplex Media Tray for Opti-Myst PRO 1000 | CDFI1000-TRAY |,cdfi1000-tray,1000x1000,FALSE,Not search Superior provided images because not Superior products
dimplex-opti-myst-black-rock-media-cdfi1000-blkrck,Dimplex,Media Kits,CDFI1000-BLKRCK,Dimplex Opti-Myst Black Rock Media | CDFI1000-BLKRCK |,cdfi1000-blkrck,1000x1000,TRUE,Not search Superior provided images because not Superior products
dimplex-opti-myst-driftwood-media-cdfi1000-dwskit,Dimplex,Media Kits,CDFI1000-DWSKIT,Dimplex Opti-Myst Driftwood Media | CDFI1000-DWSKIT |,cdfi1000-dwskit,1000x1000,FALSE,Not search Superior provided images because not Superior products
dimplex-opti-myst-pro-1000-built-in-electric-cassette-cdfi1000-pro,Dimplex,Electric Fireplaces,CDFI1000-PRO,Dimplex Opti-Myst Pro 1000 Built In Electric Cassette | CDFI1000-PRO |,cdfi1000-pro,1000x1000,FALSE,Not search Superior provided images because not Superior products
dimplex-opti-myst-pro-1000-built-in-electric-firebox-gbf1000-pro,Dimplex,Electric Fireplaces,GBF1000-PRO,Dimplex Opti-Myst Pro 1000 Built In Electric Firebox | GBF1000-PRO |,gbf1000-pro,1000x1000,FALSE,Not search Superior provided images because not Superior products
dimplex-opti-myst-pro-1500-built-in-electric-firebox-gbf1500-pro,Dimplex,Electric Fireplaces,GBF1500-PRO,Dimplex Opti-Myst Pro 1500 Built-In Electric Firebox | GBF1500-PRO |,gbf1500-pro,1000x1000,FALSE,Not search Superior provided images because not Superior products
dimplex-opti-myst-pro-500-built-in-electric-cassette-cdfi500-pro,Dimplex,Electric Fireplaces,CDFI500-PRO,Dimplex Opti-Myst Pro 500 Built In Electric Cassette | CDFI500-PRO |,cdfi500-pro,1000x1000,FALSE,Not search Superior provided images because not Superior products
dimplex-opti-myst-river-rock-media-cdfi1000-rvrck,Dimplex,Additional Media,CDFI1000-BLKRCK,Dimplex Opti-Myst River Rock Media | CDFI1000-RVRCK |,cdfi1000-blkrck,1000x1000,TRUE,Not search Superior provided images because not Superior products
dimplex-opti-myst-river-rock-media-cdfi1000-rvrck-1,Dimplex,Media Kits,CDFI1000-RVRCK,Dimplex Opti-Myst River Rock Media | CDFI1000-RVRCK |,cdfi1000-rvrck,1000x1000,FALSE,Not search Superior provided images because not Superior products
dimplex-opti-v-duet-electric-fireplace-vf5452l,Dimplex,Electric Fireplaces,VF5452L,Dimplex Opti-V Duet Electric Fireplace | VF5452L |,vf5452l,1000x1000,FALSE,Not search Superior provided images because not Superior products
