series,product_type,image_type,filename,filepath,priority
gianttimbersOD,Outdoor Products,Hi-Res Images,superior-vflg-gianttimbersOD-hires-2.tif,superior_source/Hi-Res Images/Outdoor Products/superior-vflg-gianttimbersOD-hires-2.tif,2
White Stacked Panel,/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/WRCT3000 Accessories,Web Images,White Stacked Panel.jpg,superior_source/Web Images/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/WRCT3000 Accessories/White Stacked Panel.jpg,
bouldermountain,Gas Logs,Hi-Res Images,superior-vflg-bouldermountain-hires-1.tif,superior_source/Hi-Res Images/Gas Logs/superior-vflg-bouldermountain-hires-1.tif,1
FA24,/Gas Logs/Vented,Web Images,FA24.jpg,superior_source/Web Images/Gas Logs/Vented/FA24.jpg,
gianttimbersOD,Outdoor Products,Hi-Res Images,superior-vflg-gianttimbersOD-hires-1.tif,superior_source/Hi-Res Images/Outdoor Products/superior-vflg-gianttimbersOD-hires-1.tif,1
WCT6820,/Indoor Fireplaces,Web Images,WCT6820.jpg,superior_source/Web Images/Indoor Fireplaces/WCT6820.jpg,
Mosaic Masonry Bi-Fold Door Platinum Finish Swatch,/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/WRE3000 Accessories,Web Images,Mosaic Masonry Bi-Fold Door Platinum Finish Swatch.jpg,superior_source/Web Images/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/WRE3000 Accessories/Mosaic Masonry Bi-Fold Door Platinum Finish Swatch.jpg,
VRL4543 1,/Superior Images/Superior Fireplaces/Superior Gas Fireplaces/Superior Vent-Free Fireplaces,Web Images,VRL4543 1.jpg,superior_source/Web Images/Superior Images/Superior Fireplaces/Superior Gas Fireplaces/Superior Vent-Free Fireplaces/VRL4543 1.jpg,1
drl4000ST,Gas Fireplaces,Hi-Res Images,superior-dvfp-drl4000ST-60-hires-1.tif,superior_source/Hi-Res Images/Gas Fireplaces/superior-dvfp-drl4000ST-60-hires-1.tif,1
drl4060ST,Gas Fireplaces,Hi-Res Images,superior-dvfp-drl4000ST-60-hires-1.tif,superior_source/Hi-Res Images/Gas Fireplaces/superior-dvfp-drl4000ST-60-hires-1.tif,1
heatflo,Gas Fireplaces,Hi-Res Images,superior-dvfp-heatflo-diagram-hires-1.tif,superior_source/Hi-Res Images/Gas Fireplaces/superior-dvfp-heatflo-diagram-hires-1.tif,1
wrt3000,Wood Fireplaces,Hi-Res Images,superior-wbfp-wrt3000-42-hires-1.tif,superior_source/Hi-Res Images/Wood Fireplaces/superior-wbfp-wrt3000-42-hires-1.tif,1
wrt3042,Wood Fireplaces,Hi-Res Images,superior-wbfp-wrt3000-42-hires-1.tif,superior_source/Hi-Res Images/Wood Fireplaces/superior-wbfp-wrt3000-42-hires-1.tif,1
DRC3500 2,/Superior Images/Superior Fireplaces/Superior Gas Fireplaces/Superior Direct Vent Fireplaces,Web Images,DRC3500 2.jpg,superior_source/Web Images/Superior Images/Superior Fireplaces/Superior Gas Fireplaces/Superior Direct Vent Fireplaces/DRC3500 2.jpg,2
VRT43ST-VCT43ST 1,/Superior Images/Superior Fireplaces/Superior Gas Fireplaces/Superior Vent-Free Fireplaces,Web Images,VRT43ST-VCT43ST 1.jpg,superior_source/Web Images/Superior Images/Superior Fireplaces/Superior Gas Fireplaces/Superior Vent-Free Fireplaces/VRT43ST-VCT43ST 1.jpg,1
WRT4826 2,/Superior Images/Superior Fireplaces/Superior Wood Burning Fireplaces,Web Images,WRT4826 2.jpg,superior_source/Web Images/Superior Images/Superior Fireplaces/Superior Wood Burning Fireplaces/WRT4826 2.jpg,2
vre4200,Outdoor Products,Hi-Res Images,superior-ovffb-vre4200-36-hires-1.tif,superior_source/Hi-Res Images/Outdoor Products/superior-ovffb-vre4200-36-hires-1.tif,1
vre4236,Outdoor Products,Hi-Res Images,superior-ovffb-vre4200-36-hires-1.tif,superior_source/Hi-Res Images/Outdoor Products/superior-ovffb-vre4200-36-hires-1.tif,1
DRL3000 2,/Superior Images/Superior Fireplaces/Superior Gas Fireplaces/Superior Direct Vent Fireplaces,Web Images,DRL3000 2.jpg,superior_source/Web Images/Superior Images/Superior Fireplaces/Superior Gas Fireplaces/Superior Direct Vent Fireplaces/DRL3000 2.jpg,2
LVS18VO,/Gas Logs/Vent-Free,Web Images,LVS18VO.jpg,superior_source/Web Images/Gas Logs/Vent-Free/LVS18VO.jpg,
drt4000,Gas Fireplaces,Hi-Res Images,superior-dvfp-drt4000-40-hires-1.tif,superior_source/Hi-Res Images/Gas Fireplaces/superior-dvfp-drt4000-40-hires-1.tif,1
