ID,brand,c__productCategory,manufacturerSKU,name__default,mainImageName(.png),imageSize(pixels),duplicatedManufacturerSku,matched_image
superior-26-inch-vent-free-gas-fireplace-vcm3026,Superior,Gas Fireplaces,VCM3026ZTN,Superior 26 Vent Free Gas Fireplace | VCM3026,vcm3026ztn,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-vffp-vcm3026-hires-1.tif
superior-27-inch-medium-direct-vent-gas-insert-dri2027,Superior,Gas Inserts,DRI2027TEN,Superior 27 Medium Direct-Vent Gas Insert | DRI2027,dri2027ten,1000x1000,FALSE,Hi-Res Images/Stoves _ Inserts/superior-dvin-dri2000-27-hires-1.tif
superior-27-inch-radiant-electric-fireplace-ert3027,Superior,Electric Fireplaces,ERT3027,Superior 27 Inch Radiant Electric Fireplace | ERT3027 |,ert3027,1000x1000,FALSE,Hi-Res Images/Electric Fireplaces/superior-elfp-ert3027-hires-1.tif
superior-32-inch-medium-direct-vent-gas-insert-dri2032,Superior,Gas Inserts,DRI2032TEN,Superior 32 Medium Direct-Vent Gas Insert | DRI2032,dri2032ten,1000x1000,FALSE,Hi-Res Images/Stoves _ Inserts/superior-dvin-dri2000-32-hires-1.tif
superior-32-inch-vent-free-gas-firebox-vrt3132,Superior,Fireboxes,VRT3132WS,Superior 32 Inch Vent Free Gas Firebox | VRT3132 |,vrt3132ws,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-vffb-vrt3100-36-hires-1.tif
superior-32-inch-vent-free-gas-firebox-vrt3232,Superior,Fireboxes,VRT3232WS,Superior 32 Inch Vent Free Gas Firebox | VRT3232 |,vrt3232ws,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-vffb-vrt3200-32-hires-1.tif
superior-32-inch-vent-free-linear-gas-fireplace-vrt4032,Superior,Gas Fireplaces,VRT4032ZEN,Superior 32 Inch Vent Free Linear Gas Fireplace | VRT4032 |,vrt4032zen,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-vffp-vrt4000z-32-hires-1.tif
superior-32-inch-vent-free-traditional-gas-fireplace-vrt4032,Superior,Gas Fireplaces,VRT4032,Superior 32 Vent Free Traditional Gas Fireplace | VRT4032,vrt4032,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-vffp-vrt4000z-32-hires-1.tif
superior-33-inch-direct-vent-contemporary-gas-fireplace-drc2033,Superior,Gas Fireplaces,DRC2033TEN,Superior 33 Direct-Vent Contemporary Gas Fireplace | DRC2033,drc2033ten,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-dvfp-drc2000-35-hires-1.tif
superior-33-inch-direct-vent-traditional-gas-fireplace-drt2033,Superior,Gas Fireplaces,DRT2033TEN,Superior 33 Direct-Vent Traditional Gas Fireplace | DRT2033,drt2033ten,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-dvfp-drt2033-hires-1.tif
superior-33-inch-radiant-electric-fireplace-ert3033,Superior,Electric Fireplaces,MPE-33-3,Superior 33 Inch Radiant Electric Fireplace | ERT3033 |,mpe-33-3,1000x1000,FALSE,Hi-Res Images/Electric Fireplaces/superior-elfp-ert3000-33-hires-1.tif
superior-35-inch-contemporary-linear-direct-vent-gas-fireplace-drl2035ten,Superior,Gas Fireplaces,DRL2035TEN,Superior 35 Contemporary Linear Direct-Vent Gas Fireplace | DRL2035TEN,drl2035ten,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-dvfp-drl2000-35-hires-1.tif
superior-35-inch-contemporary-linear-direct-vent-gas-fireplace-drl3535ten,Superior,Gas Fireplaces,DRL3535TEN,Superior 35 Contemporary Linear Direct-Vent Gas Fireplace | DRL3535TEN,drl3535ten,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-dvfp-drl3500-45-hires-1.tif
superior-35-inch-direct-vent-contemporary-gas-fireplace-drc2035,Superior,Gas Fireplaces,DRC2035TEN,Superior 35 Direct-Vent Contemporary Gas Fireplace | DRC2035,drc2035ten,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-dvfp-drc2000-35-hires-1.tif
superior-35-inch-direct-vent-contemporary-gas-fireplace-drc3535,Superior,Gas Fireplaces,DRC3535DEN-B,Superior 35 Direct-Vent Contemporary Gas Fireplace | DRC3535,drc3535den-b,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-dvfp-drc3500-40-hires-1.tif
superior-35-inch-direct-vent-traditional-gas-fireplace-drt2035,Superior,Gas Fireplaces,DRT2035TEN-C,Superior 35 Direct-Vent Traditional Gas Fireplace | DRT2035,drt2035ten-c,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-dvfp-drt2000-35-hires-1.tif
superior-35-inch-direct-vent-traditional-gas-fireplace-drt3035,Superior,Gas Fireplaces,DRT3035DEN-C,Superior 35 Direct-Vent Traditional Gas Fireplace | DRT3035,drt3035den-c,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-dvfp-drt3000-40-hires-1.tif
superior-35-inch-direct-vent-traditional-gas-fireplace-drt3535,Superior,Gas Fireplaces,DRT3535DEN-C,Superior 35 Direct-Vent Traditional Gas Fireplace | DRT3535,drt3535den-c,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-dvfp-drt3500-40-hires-1.tif
